entity	entities
wipeout	wipeouts
acquisition	acquisitions
obtainment	obtainments
obtention	obtentions
catching	catchings
contracting	contractings
incurring	incurrings
moneymaking	moneymakings
annexation	annexations
pork-barreling	pork-barrelings
purchase	purchases
redemption	redemptions
repurchase	repurchases
buyback	buybacks
trading	tradings
call	calls
put	puts
straddle	straddles
buying	buyings
purchasing	purchasings
shopping	shoppings
marketing	marketings
viatication	viatications
viaticus	viaticuss
acceptance	acceptances
succession	successions
assumption	assumptions
position	positions
inheritance	inheritances
heritage	heritages
procurement	procurements
procurance	procurances
procural	procurals
appropriation	appropriations
borrowing	borrowings
adoption	adoptions
naturalization	naturalizations
naturalisation	naturalisations
misappropriation	misappropriations
preemption	preemptions
pre-emption	pre-emptions
seizure	seizures
usurpation	usurpations
confiscation	confiscations
arrogation	arrogations
distress	distresses
distraint	distraints
expropriation	expropriations
impoundment	impoundments
impounding	impoundings
internment	internments
poundage	poundages
impress	impresses
impressment	impressments
occupation	occupations
occupancy	occupancies
preoccupancy	preoccupancies
preoccupation	preoccupations
sequestration	sequestrations
requisition	requisitions
grant	grants
subsidization	subsidizations
subsidisation	subsidisations
award	awards
awarding	awardings
addiction	addictions
grant-in-aid	grants-in-aid
capture	captures
apprehension	apprehensions
arrest	arrests
catch	catches
collar	collars
pinch	pinches
conquering	conquerings
subjection	subjections
subjugation	subjugations
enslavement	enslavements
restitution	restitutions
restoration	restorations
regaining	regainings
clawback	clawbacks
repossession	repossessions
foreclosure	foreclosures
reception	receptions
receipt	receipts
appointment	appointments
comb-out	combs-out
giving	givings
discard	discards
staging	stagings
minesweeping	minesweepings
auction	auctions
vendue	vendues
bootlegging	bootleggings
capitalization	capitalizations
capitalisation	capitalisations
overcapitalization	overcapitalizations
overcapitalisation	overcapitalisations
reclamation	reclamations
rescue	rescues
deliverance	deliverances
saving	savings
lifesaving	lifesavings
salvation	salvations
absolution	absolutions
remission	remissions
remittal	remittals
indulgence	indulgences
conversion	conversions
rebirth	rebirths
proselytism	proselytisms
expiation	expiations
atonement	atonements
propitiation	propitiations
reparation	reparations
amends	amendss
liberation	liberations
release	releases
freeing	freeings
reformation	reformations
salvage	salvages
ransom	ransoms
recapture	recaptures
retaking	retakings
invocation	invocations
instrumentation	instrumentations
execution	executions
mechanism	mechanisms
mechanics	mechanicss
service	services
self-service	self-services
encore	encores
extemporization	extemporizations
extemporisation	extemporisations
improvisation	improvisations
juggle	juggles
juggling	jugglings
trick	tricks
magic	magics
legerdemain	legerdemains
conjuration	conjurations
thaumaturgy	thaumaturgies
illusion	illusions
deception	deceptions
rendition	renditions
rendering	renderings
interpretation	interpretations
reinterpretation	reinterpretations
spin	spins
bowing	bowings
spiccato	spiccatoes
piping	pipings
stopping	stoppings
transposition	transpositions
automation	automations
mechanization	mechanizations
mechanisation	mechanisations
computerization	computerizations
cybernation	cybernations
motorization	motorizations
motorisation	motorisations
launching	launchings
launch	launches
blastoff	blastoffs
shot	shots
drive	drives
thrust	thrusts
firewall	firewalls
impulse	impulses
impulsion	impulsions
impetus	impetus 
roll	rolls
bowl	bowls
throw	throws
fling	flings
heave	heaves
heaving	heavings
hurl	hurls
cast	casts
leaner	leaners
toss	tosses
flip	flips
pitch	pitches
ringer	ringers
shy	shies
slinging	slingings
throw-in	throws-in
balk	balks
ball	balls
beanball	beanballs
beaner	beaners
change-up	change-ups
change-of-pace	changes-of-pace
curve	curves
bender	benders
duster	dusters
fastball	fastballs
heater	heaters
smoke	smokes
hummer	hummers
bullet	bullets
knuckleball	knuckleballs
knuckler	knucklers
screwball	screwballs
sinker	sinkers
slider	sliders
spitball	spitballs
spitter	spitters
dunk	dunks
finger-roll	finger-rolls
one-and-one	ones-and-ones
hook	hooks
jumper	jumpers
lay-up	lay-ups
layup	layups
push	pushes
pushing	pushings
depression	depressions
click	clicks
nudge	nudges
jog	jogs
press	presses
pressure	pressures
pressing	pressings
impression	impressions
shove	shoves
bundling	bundlings
jostle	jostles
jostling	jostlings
elbowing	elbowings
pull	pulls
pulling	pullings
drag	drags
draw	draws
haul	hauls
haulage	haulages
tow	tows
towage	towages
tug	tugs
jerk	jerks
draft	drafts
draught	draughts
drawing	drawings
extirpation	extirpations
excision	excisions
deracination	deracinations
pluck	plucks
traction	tractions
lift	lifts
raise	raises
expulsion	expulsions
projection	projections
ejection	ejections
defenestration	defenestrations
Babinski	Babinskis
belch	belches
belching	belchings
burp	burps
burping	burpings
eructation	eructations
blink	blinks
blinking	blinkings
wink	winks
winking	winkings
nictitation	nictitations
nictation	nictations
blush	blushes
flush	flushes
spit	spits
spitting	spittings
expectoration	expectorations
vomit	vomits
vomiting	vomitings
emesis	emeses
regurgitation	regurgitations
disgorgement	disgorgements
puking	pukings
rumination	ruminations
hematemesis	hematemeses
haematemesis	haematemeses
hyperemesis	hyperemeses
jump	jumps
jumping	jumpings
header	headers
hop	hops
leap	leaps
leaping	leapings
spring	springs
saltation	saltations
bound	bounds
bounce	bounces
vault	vaults
hurdle	hurdles
lob	lobs
centering	centerings
snap	snaps
sending	sendings
transmission	transmissions
transmittal	transmittals
transmitting	transmittings
forwarding	forwardings
referral	referrals
remitment	remitments
remit	remits
mailing	mailings
posting	postings
wheeling	wheelings
rolling	rollings
shooting	shootings
shoot	shoots
countershot	countershots
discharge	discharges
firing	firings
gun	guns
gunfire	gunfires
gunshot	gunshots
enfilade	enfilades
snipe	snipes
headshot	headshots
skeet	skeets
trapshooting	trapshootings
shellfire	shellfires
gunfight	gunfights
gunplay	gunplays
shootout	shootouts
potshot	potshots
rub	rubs
wipe	wipes
scuff	scuffs
tap	taps
pat	pats
dab	dabs
hitting	hittings
striking	strikings
contusion	contusions
crash	crashes
impingement	impingements
impaction	impactions
batting	battings
fielding	fieldings
golfing	golfings
pitching	pitchings
walk	walks
best	bests
worst	worsts
snick	snicks
bunt	bunts
fly	flies
blast	blasts
pop-fly	pop-flies
pop-up	pop-ups
grounder	grounders
groundball	groundballs
hopper	hoppers
chop	chops
chopper	choppers
roller	rollers
out	outs
force-out	forces-out
force	forces
putout	putouts
strikeout	strikeouts
whiff	whiffs
sacrifice	sacrifices
safety	safeties
liner	liners
scorcher	scorchers
screamer	screamers
plunk	plunks
plunker	plunkers
homer	homers
single	singles
bingle	bingles
double	doubles
two-bagger	two-baggers
two-baser	two-basers
triple	triples
three-bagger	three-baggers
backhander	backhanders
clip	clips
knock	knocks
belt	belts
rap	raps
whack	whacks
whang	whangs
thwack	thwacks
smack	smacks
smacking	smackings
slap	slaps
smacker	smackers
knockdown	knockdowns
knockout	knockouts
KO	KOs
kayo	kayoes
TKO	TKOs
swat	swats
spank	spanks
whip	whips
lash	lashes
whiplash	whiplashes
punch	punches
clout	clouts
poke	pokes
lick	licks
biff	biffs
slug	slugs
box	boxes
dig	digs
jab	jabs
counterpunch	counterpunches
parry	parries
counter	counters
haymaker	haymakers
roundhouse	roundhouses
kick	kicks
boot	boots
kicking	kickings
goal-kick	goal-kicks
punt	punts
punting	puntings
place-kicking	place-kickings
dropkick	dropkicks
kiss	kisses
buss	busses
osculation	osculations
smooch	smooches
grab	grabs
snatch	snatches
interception	interceptions
rebound	rebounds
mesh	meshes
meshing	meshings
interlock	interlocks
interlocking	interlockings
handling	handlings
manipulation	manipulations
fingering	fingerings
grope	gropes
audit	audits
autopsy	autopsies
necropsy	necropsies
postmortem	postmortems
post-mortem	post-mortems
PM	PMs
check-in	checks-in
check	checks
checkout	checkouts
checkup	checkups
medical	medicals
comparison	comparisons
comparing	comparings
follow-up	follow-ups
followup	followups
reexamination	reexaminations
review	reviews
going-over	goings-over
once-over	onces-over
look-over	looks-over
ophthalmoscopy	ophthalmoscopies
palpation	palpations
ballottement	ballottements
tickle	tickles
tickling	ticklings
titillation	titillations
stroke	strokes
stroking	strokings
caress	caresses
tag	tags
joining	joinings
connection	connections
connexion	connexions
interconnection	interconnections
intersection	intersections
approximation	approximations
concatenation	concatenations
convergence	convergences
converging	convergings
convergency	convergencies
merging	mergings
meeting	meetings
concourse	concourses
confluence	confluences
encounter	encounters
articulation	articulations
junction	junctions
adjunction	adjunctions
fastening	fastenings
attachment	attachments
loosening	loosenings
laxation	laxations
tightening	tightenings
ligation	ligations
bonding	bondings
soldering	solderings
doweling	dowelings
grounding	groundings
earthing	earthings
linkage	linkages
tying	tyings
ligature	ligatures
untying	untyings
undoing	undoings
unfastening	unfastenings
welding	weldings
butt-welding	butt-weldings
spot-welding	spot-weldings
flare	flares
lap	laps
grazing	grazings
shaving	shavings
skimming	skimmings
tracing	tracings
detection	detections
espial	espials
spying	spyings
spotting	spottings
self-discovery	self-discoveries
breakthrough	breakthroughs
determination	determinations
finding	findings
rediscovery	rediscoveries
designation	designations
identification	identifications
fingerprinting	fingerprintings
diagnosis	diagnoses
diagnosing	diagnosings
prognosis	prognoses
prospect	prospects
resolution	resolutions
solving	solvings
validation	validations
proof	proofs
substantiation	substantiations
authentication	authentications
certification	certifications
documentation	documentations
support	supports
monetization	monetizations
monetisation	monetisations
probate	probates
demonetization	demonetizations
demonetisation	demonetisations
falsification	falsifications
falsifying	falsifyings
disproof	disproofs
refutation	refutations
refutal	refutals
localization	localizations
localisation	localisations
locating	locatings
fix	fixes
echolocation	echolocations
predetermination	predeterminations
rectification	rectifications
redetermination	redeterminations
trigger	triggers
induction	inductions
initiation	initiations
fomentation	fomentations
instigation	instigations
compulsion	compulsions
coercion	coercions
influence	influences
cross-pollination	cross-pollinations
exposure	exposures
overexposure	overexposures
underexposure	underexposures
encroachment	encroachments
impact	impacts
use	uses
autosuggestion	autosuggestions
auto-suggestion	auto-suggestions
self-suggestion	self-suggestions
hypnotism	hypnotisms
mesmerism	mesmerisms
suggestion	suggestions
inducement	inducements
inducing	inducings
corruption	corruptions
enticement	enticements
temptation	temptations
blandishment	blandishments
wheedling	wheedlings
ingratiation	ingratiations
insinuation	insinuations
seduction	seductions
score	scores
cuckoldry	cuckoldries
solicitation	solicitations
allurement	allurements
choice	choices
selection	selections
option	options
pick	picks
casting	castings
coloration	colorations
colouration	colourations
sampling	samplings
decision	decisions
conclusion	conclusions
volition	volitions
willing	willings
intention	intentions
about-face	about-faces
volte-face	volte-faces
reversal	reversals
adulteration	adulterations
assignment	assignments
naming	namings
nomination	nominations
assigning	assignings
allocation	allocations
co-option	co-options
co-optation	co-optations
delegacy	delegacies
ordination	ordinations
ordinance	ordinances
recognition	recognitions
move	moves
castle	castles
castling	castlings
exchange	exchanges
checkmate	checkmates
mate	mates
gambit	gambits
demarche	demarches
parking	parkings
relocation	relocations
flit	flits
downshift	downshifts
bank	banks
chandelle	chandelles
loop	loops
loop-the-loop	loops-the-loops
sideslip	sideslips
straight-arm	straight-arms
device	devices
gimmick	gimmicks
twist	twists
mnemonic	mnemonics
shtik	shtiks
schtik	schtiks
shtick	shticks
schtick	schticks
feint	feints
juke	jukes
fake	fakes
footwork	footworks
ploy	ploys
stratagem	stratagems
ruse	ruses
artifice	artifices
means	meanss
agency	agencies
way	ways
dint	dints
instrument	instruments
tool	tools
road	roads
step	steps
countermeasure	countermeasures
greenmail	greenmails
expedient	expedients
backstop	backstops
makeshift	makeshifts
stopgap	stopgaps
make-do	make-does
crutch	crutches
tooth	teeth
voice	voices
wings	wingss
sortition	sortitions
acceptation	acceptations
espousal	espousals
embrace	embraces
bosom	bosoms
election	elections
reelection	reelections
plebiscite	plebiscites
referendum	referendums
vote	votes
primary	primaries
by-election	by-elections
bye-election	bye-elections
runoff	runoffs
ballot	ballots
voting	votings
balloting	ballotings
reconciliation	reconciliations
balancing	balancings
equation	equations
equating	equatings
C-section	C-sections
cesarean	cesareans
cesarian	cesarians
caesarean	caesareans
caesarian	caesarians
midwifery	midwiferies
goal	goals
ten-strike	ten-strikes
spare	spares
audible	audibles
touchback	touchbacks
touchdown	touchdowns
run	runs
tally	tallies
rbi	rbis
basket	baskets
solution	solutions
change	changes
filtration	filtrations
percolation	percolations
reduction	reductions
simplification	simplifications
schematization	schematizations
schematisation	schematisations
economy	economies
retrenchment	retrenchments
curtailment	curtailments
downsizing	downsizings
accommodation	accommodations
adaptation	adaptations
take-up	take-ups
readjustment	readjustments
domestication	domestications
decimalization	decimalizations
decimalisation	decimalisations
metrification	metrifications
metrication	metrications
habituation	habituations
variation	variations
variance	variances
turning	turnings
diversification	diversifications
variegation	variegations
flux	fluxes
switch	switches
switching	switchings
shift	shifts
switcheroo	switcheroos
substitution	substitutions
commutation	commutations
novation	novations
superannuation	superannuations
supersedure	supersedures
supersession	supersessions
supplanting	supplantings
displacement	displacements
replacement	replacements
replacing	replacings
subrogation	subrogations
weaning	weanings
ablactation	ablactations
promotion	promotions
preferment	preferments
demotion	demotions
investment	investments
investiture	investitures
alteration	alterations
modification	modifications
adjustment	adjustments
distraction	distractions
misdirection	misdirections
aeration	aerations
modulation	modulations
qualification	qualifications
reorganization	reorganizations
passage	passages
transition	transitions
fossilization	fossilizations
fossilisation	fossilisations
segue	segues
meddling	meddlings
tampering	tamperings
transfer	transfers
transference	transferences
prohibition	prohibitions
inhibition	inhibitions
forbiddance	forbiddances
resistance	resistances
opposition	oppositions
lockout	lockouts
reaction	reactions
backlash	backlashes
whitelash	whitelashes
rejection	rejections
brush-off	brushes-off
avoidance	avoidances
shunning	shunnings
dodging	dodgings
aversion	aversions
averting	avertings
forsaking	forsakings
apostasy	apostasies
tergiversation	tergiversations
bolt	bolts
renunciation	renunciations
forgoing	forgoings
forswearing	forswearings
nonacceptance	nonacceptances
turndown	turndowns
abnegation	abnegations
self-abnegation	self-abnegations
denial	denials
self-denial	self-denials
self-renunciation	self-renunciations
forfeit	forfeits
forfeiture	forfeitures
boycott	boycotts
banishment	banishments
proscription	proscriptions
anathematization	anathematizations
anathematisation	anathematisations
disbarment	disbarments
exclusion	exclusions
riddance	riddances
deportation	deportations
ostracism	ostracisms
barring	barrings
blackball	blackballs
exile	exiles
transportation	transportations
excommunication	excommunications
relegation	relegations
rustication	rustications
ouster	ousters
ousting	oustings
deposition	depositions
dethronement	dethronements
suspension	suspensions
veto	vetoes
write-in	writes-in
termination	terminations
ending	endings
finish	finishes
finishing	finishings
finale	finales
close	closes
finis	finiss
completion	completions
culmination	culminations
closing	closings
windup	windups
finalization	finalizations
finalisation	finalisations
follow-through	follow-throughs
graduation	graduations
hibernation	hibernations
relinquishment	relinquishments
relinquishing	relinquishings
cession	cessions
ceding	cedings
handover	handovers
extradition	extraditions
waiver	waivers
exemption	exemptions
immunity	immunities
dissolution	dissolutions
breakup	breakups
splitsville	splitsvilles
overthrow	overthrows
subversion	subversions
adjournment	adjournments
dismissal	dismissals
dismission	dismissions
sack	sacks
sacking	sackings
conge	conges
congee	congees
removal	removals
purge	purges
destruction	destructions
devastation	devastations
disaster	disasters
kill	kills
ruin	ruins
ruining	ruinings
ruination	ruinations
wrecking	wreckings
razing	razings
demolishing	demolishings
annihilation	annihilations
obliteration	obliterations
decimation	decimations
atomization	atomizations
atomisation	atomisations
pulverization	pulverizations
pulverisation	pulverisations
vaporization	vaporizations
vaporisation	vaporisations
killing	killings
deathblow	deathblows
death	deaths
euthanasia	euthanasias
homicide	homicides
manslaughter	manslaughters
murder	murders
slaying	slayings
assassination	assassinations
bloodshed	bloodsheds
gore	gores
chance-medley	chance-medleys
parricide	parricides
mariticide	mariticides
matricide	matricides
patricide	patricides
fratricide	fratricides
uxoricide	uxoricides
filicide	filicides
fell	fells
suicide	suicides
self-destruction	self-destructions
self-annihilation	self-annihilations
felo-de-se	felo-de-ses
harakiri	harakiris
hara-kiri	hara-kiris
harikari	harikaris
seppuku	seppukus
suttee	suttees
elimination	eliminations
liquidation	liquidations
slaughter	slaughters
massacre	massacres
carnage	carnages
butchery	butcheries
bloodbath	bloodbaths
bloodletting	bloodlettings
battue	battues
lynching	lynchings
poisoning	poisonings
gassing	gassings
regicide	regicides
suffocation	suffocations
asphyxiation	asphyxiations
choking	chokings
strangling	stranglings
strangulation	strangulations
throttling	throttlings
spasm	spasms
squeeze	squeezes
bronchospasm	bronchospasms
cardiospasm	cardiospasms
retch	retches
laryngismus	laryngismuss
carjacking	carjackings
hecatomb	hecatombs
immolation	immolations
electrocution	electrocutions
decapitation	decapitations
beheading	beheadings
abolition	abolitions
abolishment	abolishments
settlement	settlements
closure	closures
closedown	closedowns
shutdown	shutdowns
layoff	layoffs
extinction	extinctions
extinguishing	extinguishings
quenching	quenchings
fade	fades
abortion	abortions
miscarriage	miscarriages
stillbirth	stillbirths
aborticide	aborticides
feticide	feticides
nullification	nullifications
override	overrides
abrogation	abrogations
repeal	repeals
annulment	annulments
derogation	derogations
cancellation	cancellations
write-off	writes-off
attainder	attainders
recission	recissions
rescission	rescissions
vitiation	vitiations
neutralization	neutralizations
neutralisation	neutralisations
counteraction	counteractions
deactivation	deactivations
defusing	defusings
inactivation	inactivations
regression	regressions
regress	regresses
retrogression	retrogressions
retroversion	retroversions
beginning	beginnings
start	starts
commencement	commencements
springboard	springboards
accession	accessions
activation	activations
attack	attacks
tone-beginning	tone-beginnings
constitution	constitutions
establishment	establishments
formation	formations
organization	organizations
organisation	organisations
re-establishment	re-establishments
Creation	Creations
introduction	introductions
debut	debuts
unveiling	unveilings
hypnogenesis	hypnogeneses
face-off	faces-off
initiative	initiatives
opening	openings
groundbreaking	groundbreakings
icebreaker	icebreakers
inauguration	inaugurations
startup	startups
founding	foundings
foundation	foundations
institution	institutions
origination	originations
creation	creations
innovation	innovations
instauration	instaurations
authorship	authorships
paternity	paternities
installation	installations
installing	installings
installment	installments
instalment	instalments
kickoff	kickoffs
starting	startings
resumption	resumptions
recommencement	recommencements
scrum	scrums
scrummage	scrummages
unionization	unionizations
unionisation	unionisations
arousal	arousals
rousing	rousings
reveille	reveilles
inaugural	inaugurals
cooking	cookings
cookery	cookeries
preparation	preparations
baking	bakings
shirring	shirrings
toasting	toastings
browning	brownings
broil	broils
broiling	broilings
grilling	grillings
frying	fryings
sauteing	sauteings
braising	braisings
poaching	poachings
roasting	roastings
barbecuing	barbecuings
boiling	boilings
stewing	stewings
simmering	simmerings
basting	bastings
tenderization	tenderizations
tenderisation	tenderisations
seasoning	seasonings
salting	saltings
sweetening	sweetenings
infusion	infusions
improvement	improvements
advancement	advancements
progress	progress
furtherance	furtherances
stride	strides
workflow	workflows
development	developments
broadening	broadenings
elaboration	elaborations
cleaning	cleanings
cleansing	cleansings
cleanup	cleanups
disinfestation	disinfestations
spring-cleaning	spring-cleanings
scrub	scrubs
scrubbing	scrubbings
scouring	scourings
swabbing	swabbings
mopping	moppings
sweeping	sweepings
purging	purgings
purgation	purgations
purification	purifications
catharsis	catharses
katharsis	katharses
abreaction	abreactions
sterilization	sterilizations
sterilisation	sterilisations
pasteurization	pasteurizations
pasteurisation	pasteurisations
sanitation	sanitations
sanitization	sanitizations
sanitisation	sanitisations
depilation	depilations
epilation	epilations
shave	shaves
tonsure	tonsures
electrolysis	electrolyses
washup	washups
bathing	bathings
ablution	ablutions
dishwashing	dishwashings
wash	washes
washing	washings
lavation	lavations
washing-up	washing-ups
window-washing	window-washings
rinse	rinses
soak	soaks
soaking	soakings
brushing	brushings
comb	combs
combing	combings
teasing	teasings
shampoo	shampoos
haircare	haircares
hairdressing	hairdressings
hairweaving	hairweavings
shower	showers
bath	baths
mikvah	mikvahs
rubdown	rubdowns
correction	corrections
redress	redresses
remedy	remedies
remediation	remediations
salve	salves
retribution	retributions
recompense	recompenses
compensation	compensations
indemnification	indemnifications
optimization	optimizations
optimisation	optimisations
perfection	perfections
reform	reforms
amelioration	ameliorations
melioration	meliorations
betterment	betterments
self-improvement	self-improvements
self-reformation	self-reformations
beautification	beautifications
glamorization	glamorizations
glamorisation	glamorisations
glamourization	glamourizations
glamourisation	glamourisations
decoration	decorations
adornment	adornments
ornamentation	ornamentations
embellishment	embellishments
trimming	trimmings
tessellation	tessellations
figuration	figurations
tattoo	tattoos
titivation	titivations
tittivation	tittivations
marking	markings
lineation	lineations
mottling	mottlings
striping	stripings
clearing	clearings
clarification	clarifications
enrichment	enrichments
fortification	fortifications
humanization	humanizations
humanisation	humanisations
modernization	modernizations
modernisation	modernisations
renovation	renovations
redevelopment	redevelopments
overhaul	overhauls
facelift	facelifts
moralization	moralizations
moralisation	moralisations
enhancement	enhancements
upturn	upturns
worsening	worsenings
downturn	downturns
downswing	downswings
downspin	downspins
ventilation	ventilations
airing	airings
repair	repairs
fixing	fixings
fixture	fixtures
mend	mends
mending	mendings
darning	darnings
patching	patchings
care	cares
maintenance	maintenances
upkeep	upkeeps
quickie	quickies
quicky	quickies
gentrification	gentrifications
renewal	renewals
rehabilitation	rehabilitations
reconstruction	reconstructions
anastylosis	anastyloses
makeover	makeovers
reassembly	reassemblies
refabrication	refabrications
re-formation	re-formations
regeneration	regenerations
rebuilding	rebuildings
coaching	coachings
engagement	engagements
booking	bookings
gig	gigs
degradation	degradations
debasement	debasements
dehumanization	dehumanizations
dehumanisation	dehumanisations
brutalization	brutalizations
brutalisation	brutalisations
animalization	animalizations
animalisation	animalisations
barbarization	barbarizations
barbarisation	barbarisations
bastardization	bastardizations
bastardisation	bastardisations
demoralization	demoralizations
demoralisation	demoralisations
stultification	stultifications
constipation	constipations
impairment	impairments
deadening	deadenings
popularization	popularizations
popularisation	popularisations
vulgarization	vulgarizations
vulgarisation	vulgarisations
profanation	profanations
humiliation	humiliations
abasement	abasements
comedown	comedowns
whitening	whitenings
lightening	lightenings
bleach	bleaches
etiolation	etiolations
blackening	blackenings
darkening	darkenings
obfuscation	obfuscations
